"Name","Won","Lost","Draw"
"Arsenal FC","18","13","7"
"Chelsea FC","19","9","10"
"Burnley FC","10","19","9"
"Manchester City","27","6","5"
"Manchester United","21","6","11"
"Leicester City","20","12","6"
"Liverpool FC","20","9","9"
"Tottenham Hotspur","18","12","8"
"West Ham United","16","11","11"
"Everton FC","17","13","8"
"Fulham","5","20","13"
"Aston Villa","16","15","7"
"Wolverhampton Wanderers","12","17","9"
"Crystal Palace","12","18","8"
"Southampton","12","19","7"
"Newcastle United","12","17","9"
"Brighton & Hove Albion","9","15","14"
"Leeds United","18","15","5"
"West Bromich Albion","5","22","11"
"Sheffield United","7","29","2"
